"gene","module"
"CEP170P1","blue"
"CEP192-DT","blue"
"CEP57L1","blue"
"CEP85L","blue"
"CEROX1","blue"
"CERS4","blue"
"CERT1","blue"
"CES4A","blue"
"CFTR","blue"
"CHAT","blue"
"CHD1L","blue"
"CHD3","blue"
"CHML","blue"
"CHMP5","blue"
"CHMP7","blue"
"CHST11","blue"
"CHST9","blue"
"CIBAR1","blue"
"CIC","blue"
"CICP14","blue"
"CILK1","blue"
"CIPC","blue"
"CKS1BP2","blue"
"CLASP1","blue"
"CLASP1-AS1","blue"
"CLIP2","blue"
"CLIP3","blue"
"CLIP4","blue"
"CLK1","blue"
"CLK4","blue"
"CLMP","blue"
"CMTM5","blue"
"CNIH3-AS2","blue"
"CNKSR2","blue"
"CNN3-DT","blue"
"CNPPD1","blue"
"CNPY2-AS1","blue"
"CNTNAP2","blue"
"COL9A3","blue"
"COPS4","blue"
"COQ3","blue"
"CORO1A","blue"
"CORO2B","blue"
"CORO7","blue"
"COX6CP1","blue"
"CPNE4","blue"
"CPNE6","blue"
"CPNE8","blue"
"CRADD","blue"
"CRAT","blue"
"CREB5","blue"
"CREBZF","blue"
"CRIP3","blue"
"CRK","blue"
"CRMP1","blue"
"CROCCP3","blue"
"CRYM","blue"
"CSAD","blue"
"CSGALNACT2","blue"
"CSK","blue"
"CSNK1D","blue"
"CSNK1E","blue"
"CSNK2A1","blue"
"CSNK2A3","blue"
"CSRNP2","blue"
"CSRP2","blue"
"CSTF3","blue"
"CTDSPL","blue"
"CTDSPL2","blue"
"CTSE","blue"
"CTTNBP2","blue"
"CYB5A","blue"
"CYCSP24","blue"
"CYCSP8","blue"
"CYP2D7","blue"
"CYP2R1","blue"
"CYRIA","blue"
"CYTH1","blue"
"CYTH3","blue"
"CYTIP","blue"
"DAAM2","blue"
"DAB1","blue"
"DACT1","blue"
"DBI","blue"
"DCAF16","blue"
"DCAF6","blue"
"DCAF7","blue"
"DCLK3","blue"
"DCT","blue"
"DCTN2","blue"
"DCUN1D2","blue"
"DCUN1D3","blue"
"DDAH2","blue"
"DDHD1","blue"
"DDN","blue"
"DDX11","blue"
"DDX4","blue"
"DDX47","blue"
"DDX59","blue"
"DDX6","blue"
"DENND4A","blue"
"DEPDC7","blue"
"DGAT1","blue"
"DGCR8","blue"
"DHFR2","blue"
"DHX36","blue"
"DIP2A-IT1","blue"
"DIP2C","blue"
