"gene","module"
"TFPI2-DT","black"
"TGM6","black"
"THAP12P1","black"
"THAP8","black"
"THEGL","black"
"THRAP3P1","black"
"TIGD1","black"
"TM2D1","black"
"TM7SF3","black"
"TMA16P1","black"
"TMBIM7P","black"
"TMED7-TICAM2","black"
"TMEM134","black"
"TMEM174","black"
"TMEM251","black"
"TMEM78","black"
"TMEM95","black"
"TMPRSS11B","black"
"TNFRSF12A","black"
"TNFRSF1A","black"
"TNR-IT1","black"
"TOMM20P2","black"
"TOMM22P6","black"
"TP53I3","black"
"TPH2","black"
"TPRKBP1","black"
"TPTE2","black"
"TPTE2P2","black"
"TRABD2A","black"
"TRAFD1","black"
"TRAV11","black"
"TRDV3","black"
"TREM1","black"
"TRIM27","black"
"TRIM49B","black"
"TRIM51","black"
"TRIM51BP","black"
"TRIM60P16","black"
"TRPC4","black"
"TRPC7","black"
"TSIX","black"
"TTC39A-AS1","black"
"TUBA3C","black"
"TUBB6","black"
"TUT1","black"
"TXNDC12","black"
"TXNP1","black"
"U6","black"
"UBE2E2-DT","black"
"UBE2H-DT","black"
"UBE2NL","black"
"UBE2V2P3","black"
"UBR7","black"
"UBTFL1","black"
"UBTFL8","black"
"UCMA","black"
"UCN3","black"
"UGT2B15","black"
"UMODL1","black"
"USE1","black"
"USH1C","black"
"USP12-DT","black"
"USP21P1","black"
"USP32P4","black"
"USP39","black"
"UTS2","black"
"VAMP1","black"
"VAMP8","black"
"VENTXP1","black"
"VIM","black"
"VIPR1-AS1","black"
"VN1R85P","black"
"VPS13C-DT","black"
"VPS35L","black"
"VPS45","black"
"VPS4A","black"
"VSTM1","black"
"VSTM2B-DT","black"
"VWF","black"
"WAKMAR2","black"
"WDR53","black"
"WWC3-AS1","black"
"WWTR1-IT1","black"
"XIAPP2","black"
"XNDC1N","black"
"XRCC6P4","black"
"YBX1P9","black"
"YJU2","black"
"YWHAEP1","black"
"YWHAEP5","black"
"YY1P1","black"
"ZAN","black"
"ZDHHC3","black"
"ZFP37","black"
"ZFYVE1","black"
